timestamp,tid,isMain,tracepoint,custom_stat_1,custom_stat_2,custom_stat_3,custom_stat_4
10149384284833,33528,true,exec(),,,,
10149385768660,33528,true,malloc(),8,8,8,
10149385856964,33528,true,malloc(),88,88,80,
10149385864528,33528,true,ent:pthread_create(),,,,
10149385894347,33528,true,ent:pthread_mutex_lock(),,,,
10149385903246,33528,true,ret:pthread_mutex_lock(),8899,,,
10149385907377,33528,true,ent:pthread_mutex_unlock(),,,,
10149385915639,33528,true,ret:pthread_mutex_unlock(),8262,,,
10149386154016,33547,false,fork(),,,,
10149386215350,33528,true,ret:pthread_create(),true,352454,,
10149386224004,33528,true,ent:pthread_create(),,,,
10149386268463,33528,true,ent:pthread_mutex_lock(),,,,
10149386280020,33528,true,ret:pthread_mutex_lock(),11557,,,
10149386285455,33528,true,ent:pthread_mutex_unlock(),,,,
10149386295529,33528,true,ret:pthread_mutex_unlock(),10074,,,
10149386384320,33548,false,fork(),,,,
10149386447773,33528,true,ret:pthread_create(),true,224754,,
10149386455781,33528,true,ent:pthread_create(),,,,
10149386530219,33547,false,malloc(),560,472,472,
10149386655545,33528,true,ent:pthread_mutex_lock(),,,,
10149386694539,33528,true,ret:pthread_mutex_lock(),38994,,,
10149386773849,33528,true,ent:pthread_mutex_unlock(),,,,
10149386787991,33528,true,ret:pthread_mutex_unlock(),14142,,,
10149386876554,33548,false,malloc(),1032,472,472,
10149386892354,33549,false,fork(),,,,
10149386996251,33528,true,ret:pthread_create(),true,541519,,
10149387004598,33528,true,ent:pthread_create(),,,,
10149387043687,33528,true,ent:pthread_mutex_lock(),,,,
10149387138919,33528,true,ret:pthread_mutex_lock(),95232,,,
10149387144491,33528,true,ent:pthread_mutex_unlock(),,,,
10149387153791,33549,false,malloc(),1504,472,472,
10149387154363,33528,true,ret:pthread_mutex_unlock(),9872,,,
10149387249585,33550,false,fork(),,,,
10149387310876,33528,true,ret:pthread_create(),true,307284,,
10149387317296,33528,true,ent:pthread_create(),,,,
10149387365664,33528,true,ent:pthread_mutex_lock(),,,,
10149387448480,33528,true,ret:pthread_mutex_lock(),82816,,,
10149387453894,33528,true,ent:pthread_mutex_unlock(),,,,
10149387463883,33528,true,ret:pthread_mutex_unlock(),9989,,,
10149387514920,33550,false,malloc(),1976,472,472,
10149387559093,33551,false,fork(),,,,
10149387619898,33528,true,ret:pthread_create(),true,303609,,
10149387650109,33528,true,ent:pthread_join(),,,,
10149387707979,33551,false,malloc(),2448,472,472,
10149391201866,33547,false,malloc(),2568,592,120,
10149391715456,33549,false,malloc(),2688,592,120,
10149391774524,33551,false,malloc(),2808,592,120,
10149392497067,33550,false,malloc(),2928,592,120,
10149392656307,33549,false,malloc(),7024,4688,4096,
10149392789310,33547,false,malloc(),11120,4688,4096,
10149393599670,33548,false,malloc(),11240,592,120,
10149393676840,33551,false,malloc(),15336,4688,4096,
10149393820890,33550,false,malloc(),19432,4688,4096,
10149394065252,33549,false,malloc(),19436,4692,4,
10149394151024,33549,false,ent:pthread_mutex_lock(),,,,
10149394165780,33549,false,ret:pthread_mutex_lock(),14756,,,
10149394181712,33549,false,malloc(),19440,4696,4,
10149394196034,33549,false,malloc(),19444,4700,4,
10149394208873,33549,false,malloc(),19448,4704,4,
10149394222029,33549,false,malloc(),19488,4744,40,
10149394228014,33549,false,free(),19484,4740,4,
10149394237379,33549,false,ent:pthread_mutex_unlock(),,,,
10149394248025,33549,false,ret:pthread_mutex_unlock(),10646,,,
10149394253141,33549,false,free(),19480,4736,4,
10149394269709,33549,false,malloc(),19485,4741,5,
10149394273289,33549,false,ent:pthread_mutex_lock(),,,,
10149394281033,33549,false,ret:pthread_mutex_lock(),7744,,,
10149394293490,33549,false,malloc(),19489,4745,4,
10149394298575,33549,false,free(),19485,4741,4,
10149394314677,33549,false,malloc(),19489,4745,4,
10149394327208,33549,false,malloc(),19493,4749,4,
10149394340216,33549,false,malloc(),19497,4753,4,
10149394353151,33549,false,malloc(),19501,4757,4,
10149394366307,33549,false,malloc(),19541,4797,40,
10149394370968,33549,false,free(),19537,4793,4,
10149394379623,33549,false,free(),19533,4789,4,
10149394424262,33549,false,ent:pthread_mutex_unlock(),,,,
10149394436942,33549,false,ret:pthread_mutex_unlock(),12680,,,
10149394442832,33549,false,free(),19528,4784,5,
10149394460755,33549,false,malloc(),19534,4790,6,
10149394464622,33549,false,ent:pthread_mutex_lock(),,,,
10149394473181,33549,false,ret:pthread_mutex_lock(),8559,,,
10149394486052,33549,false,malloc(),19540,4796,6,
10149394491136,33549,false,free(),19534,4790,6,
10149394508085,33549,false,malloc(),19538,4794,4,
10149394520161,33549,false,malloc(),19544,4800,6,
10149394532979,33549,false,malloc(),19550,4806,6,
10149394545797,33549,false,malloc(),19556,4812,6,
10149394558762,33549,false,malloc(),19560,4816,4,
10149394571665,33549,false,malloc(),19600,4856,40,
10149394576569,33549,false,free(),19594,4850,6,
10149394585510,33549,false,free(),19588,4844,6,
10149394594525,33549,false,free(),19584,4840,4,
10149394601876,33549,false,ent:pthread_mutex_unlock(),,,,
10149394609842,33549,false,ret:pthread_mutex_unlock(),7966,,,
10149394614789,33549,false,free(),19578,4834,6,
10149394631082,33549,false,malloc(),19580,4836,2,
10149394634450,33549,false,ent:pthread_mutex_lock(),,,,
10149394642776,33549,false,ret:pthread_mutex_lock(),8326,,,
10149394654641,33549,false,malloc(),19582,4838,2,
10149394659588,33549,false,free(),19580,4836,2,
10149394677225,33549,false,malloc(),19584,4840,4,
10149394681928,33548,false,malloc(),23680,4688,4096,
10149394689269,33549,false,malloc(),23682,4842,2,
10149394701939,33549,false,malloc(),23684,4844,2,
10149394714703,33549,false,malloc(),23686,4846,2,
10149394726674,33549,false,malloc(),23690,4850,4,
10149394746567,33549,false,malloc(),23730,4890,40,
10149394751249,33549,false,free(),23728,4888,2,
10149394760052,33549,false,free(),23726,4886,2,
10149394768421,33549,false,free(),23722,4882,4,
10149394775381,33549,false,ent:pthread_mutex_unlock(),,,,
10149394785179,33549,false,ret:pthread_mutex_unlock(),9798,,,
10149394790317,33549,false,free(),23720,4880,2,
10149394808209,33549,false,malloc(),23722,4882,2,
10149394811672,33549,false,ent:pthread_mutex_lock(),,,,
10149394819628,33549,false,ret:pthread_mutex_lock(),7956,,,
10149394831693,33549,false,malloc(),23724,4884,2,
10149394836121,33549,false,free(),23722,4882,2,
10149394852403,33549,false,malloc(),23726,4886,4,
10149394864034,33549,false,malloc(),23728,4888,2,
10149394873790,33551,false,malloc(),23738,4698,10,
10149394876417,33549,false,malloc(),23740,4890,2,
10149394879288,33551,false,ent:pthread_mutex_lock(),,,,
10149394888790,33549,false,malloc(),23742,4892,2,
10149394901205,33549,false,malloc(),23746,4896,4,
10149394913377,33549,false,malloc(),23786,4936,40,
10149394917921,33549,false,free(),23784,4934,2,
10149394926438,33549,false,free(),23782,4932,2,
10149394934902,33549,false,free(),23778,4928,4,
10149394942444,33549,false,ent:pthread_mutex_unlock(),,,,
10149395002518,33549,false,ret:pthread_mutex_unlock(),60074,,,
10149395010473,33549,false,free(),23776,4926,2,
10149395018815,33551,false,ret:pthread_mutex_lock(),139527,,,
10149395033524,33549,false,malloc(),23781,4931,5,
10149395037602,33549,false,ent:pthread_mutex_lock(),,,,
10149395044387,33550,false,malloc(),23790,4690,2,
10149395044662,33551,false,malloc(),23790,4707,9,
10149395048805,33550,false,ent:pthread_mutex_lock(),,,,
10149395050584,33551,false,free(),23781,4698,9,
10149395068772,33551,false,malloc(),23785,4702,4,
10149395088995,33551,false,malloc(),23794,4711,9,
10149395109683,33551,false,malloc(),23803,4720,9,
